customer_id,annual_income,credit_score,loan_amount,loan_term,debt_to_income,employment_years,num_delinquencies,credit_utilization,num_accounts,home_ownership,loan_purpose,default
1,89901.42459033697,632.5053688658945,23482.862476668182,60,0.21625026539602257,4,2,0.7280826105125764,2,MORTGAGE,other,1
2,70852.07096486446,658.6150375862443,22833.235925356665,60,0.4310147175784631,0,1,0.8900539591780403,1,RENT,credit_card,1
3,94430.65614302078,638.1833257268399,10634.801541945088,60,0.20079267809842669,13,0,0.49107986701236683,3,MORTGAGE,other,0
4,120690.89569224077,687.7292632862284,25795.842217637382,60,0.19882784288113564,16,0,0.40113250391619965,13,RENT,debt_consolidation,1
5,67975.39875829993,763.8024972023339,5099.17324423382,36,0.13024293155867017,1,2,0.7745323196691919,2,RENT,debt_consolidation,1
6,67975.89129152459,626.0270490001157,13458.156742396714,60,0.40510161163754854,2,0,0.5439235839755584,1,MORTGAGE,home_improvement,0
7,122376.38446522175,750.057434843789,1000.0,60,0.0323341808982514,5,0,0.1941208878969479,4,MORTGAGE,credit_card,1
8,98023.04187458726,625.2829549357178,35586.26516962815,36,0.2239633069993668,17,0,0.788888055947038,1,RENT,debt_consolidation,1
9,60915.768421951434,620.6660951252181,17684.505060547046,60,0.18450668657955974,11,0,0.7202532195498035,5,MORTGAGE,other,0
10,91276.80130757893,737.3016232840249,41668.84034816312,60,0.1000705880005812,5,0,0.825284029338863,9,OWN,home_improvement,0
11,61097.46921562613,744.5355464605332,28029.49926519495,36,0.2133945872967202,1,0,0.3705276607345258,10,RENT,credit_card,1
12,61028.10739289229,739.5986955733858,24480.982133510246,60,0.3775094579691025,17,0,0.25535530663994627,13,MORTGAGE,credit_card,0
13,82258.86814698103,587.8941814247302,14137.723057190007,36,0.10737317172057133,12,0,0.423846669857429,4,OWN,home_improvement,1
14,20000.0,647.3834315349565,9536.4996431258,60,0.19251185236336016,15,0,0.16946979104810228,10,OWN,credit_card,1
15,23252.465024609017,737.6092014402325,25229.715738969455,36,0.45549468039380697,12,1,0.31531028868814887,4,RENT,debt_consolidation,0
16,58131.37412277082,682.9079288394727,19284.85990727018,60,0.5651708709500162,16,0,0.45628467716545845,5,MORTGAGE,debt_consolidation,1
17,44615.06638996729,604.8415007661775,6607.29684514699,36,0.2075031969213874,3,0,0.6997176589352894,4,RENT,other,1
18,84427.41997785821,712.0822557387809,4831.415834916814,60,0.2240336838915635,5,1,0.8149436672761307,9,OWN,debt_consolidation,1
19,47759.27773436367,629.9634918705971,10412.962708564162,60,0.145672013747885,13,1,0.6667176269171303,1,MORTGAGE,debt_consolidation,0
20,32630.888959941258,805.6167393874548,38209.672252662305,36,0.04484802985108001,18,0,0.11388186681451459,1,MORTGAGE,credit_card,0
21,118969.46306764662,788.1389023692781,42132.77918011304,36,0.1253811666057091,12,1,0.18068069131597927,7,RENT,home_improvement,1
22,68226.71098540393,722.2868198448897,22049.891473089097,36,0.15331705350022765,10,0,0.18849051027060162,12,MORTGAGE,debt_consolidation,0
23,77025.84614063772,775.2704693338842,21489.427962412883,60,0.1771167248584963,14,1,0.5384451067894133,14,MORTGAGE,credit_card,1
24,32257.5544135963,684.5353945086367,16636.79628170479,36,0.15786430115560016,15,0,0.6385464696887502,5,MORTGAGE,other,1
25,58668.51826424452,733.5806246062511,10655.146516904977,60,0.41947871242346424,0,1,0.5603828280610323,6,MORTGAGE,debt_consolidation,0
26,78327.67769129598,783.4404206711453,33751.79057607244,36,0.38816730163478125,16,0,0.3118398508584913,1,RENT,home_improvement,0
27,40470.19267733092,697.1849077256019,38735.76393897136,60,0.11149729135284367,15,1,0.9315471755010524,13,RENT,credit_card,1
28,86270.94055037016,662.1368979940002,11065.809141607144,60,0.1073076685725063,4,1,0.5390127374657377,2,MORTGAGE,debt_consolidation,1
29,56980.83930243585,560.6764629276018,19171.616215753984,36,0.3726689314559288,15,1,0.4450005336131341,14,RENT,debt_consolidation,1
