customer_id,annual_income,credit_score,loan_amount,loan_term,age,employment_length_years,debt_to_income,credit_utilization,delinquency_count,inquiry_count,existing_customer,relationship_tenure_months,num_existing_products,default,income_per_month,loan_to_income_ratio,estimated_monthly_payment,payment_to_income_ratio,risk_score_band,review_flag,offer_name,offered_interest_rate,response_probability,accepted_offer,base_p_default,adjusted_p_default,p_accept,expected_revenue,expected_loss,expected_value,selection_reason,policy_segment,final_decision,decision_reason
1,84141.51239263294,692.3393925009731,3417.9935140092166,60,32,1,0.3563643923172774,0.9410977301524764,1,2,1,20,3,1,7011.792699386078,0.0406219643167224,76.03137790971157,0.0108433579197977,good,1,no_offer,0.12,0.2327,1,0.5380907848310483,0.4877016243109977,0.2327,0.0,174.55581992823872,0.0,all_negative_value,outside_risk_appetite,decline,risk_too_high
2,43800.476812785135,742.9386438799379,28912.069925461823,36,32,20,0.4740747754809854,0.8091874440379092,0,1,0,0,0,0,3650.039734398761,0.6600857348740654,960.2944478351056,0.2630915051477364,excellent,1,no_offer,0.12,0.0454,0,0.3485009664582953,0.3611738427452294,0.0454,0.0,213.33584979453656,0.0,all_low_acceptance,high_risk,decline,low_acceptance_probability
3,97513.53587419372,576.941056891642,19419.679935848035,36,39,18,0.0780709535338551,0.4201647455256611,4,1,0,0,0,1,8126.127989516143,0.1991485567778305,645.0112658556662,0.0793749823542586,poor,1,no_offer,0.12,0.0641,0,0.6606203039385059,0.6273640495270706,0.0641,0.0,351.4246649051372,0.0,all_negative_value,outside_risk_appetite,decline,risk_too_high
4,103216.94149173642,660.0291286328716,14000.908815375962,36,47,3,0.2338213956874106,0.8337089407849169,1,1,0,0,0,0,8601.411790978034,0.1356454532840544,465.0305230553762,0.0540644413152128,fair,1,no_offer,0.12,0.1237,0,0.5591450725772483,0.5195611829060515,0.1237,0.0,404.9255096392153,0.0,all_negative_value,outside_risk_appetite,decline,risk_too_high
5,20000.0,738.0407306765384,17491.824882396093,36,21,17,0.1333481580803381,0.4298539215812929,1,2,0,0,0,1,1666.6666666666667,0.874591244076075,580.9788908360428,0.3485873342924732,good,1,no_offer,0.12,0.0378,0,0.1823013688633537,0.216348202436472,0.0378,0.0,64.37136604958553,0.0,all_low_acceptance,high_risk,decline,low_acceptance_probability
6,35934.61479413046,684.5920103839816,30367.70787041004,60,32,7,0.074117482726497,0.3122971087318674,1,3,0,0,0,0,2994.551232844205,0.8450823264293125,675.5128890337156,0.2255806751272501,good,1,no_offer,0.12,0.065,1,0.2308789958644783,0.2341741646462908,0.065,0.0,208.006479216194,0.0,all_low_acceptance,high_risk,decline,low_acceptance_probability
7,78835.21209501856,782.7133668454236,27312.40517325073,36,35,7,0.2108585443805055,0.6713313115347826,0,2,0,0,0,0,6569.601007918213,0.3464493142986051,987.4088748605864,0.1502996717030732,excellent,0,mid_apr,0.18,0.1164,0,0.2107252350427193,0.2183001529684876,0.1164,116.88174422869066,312.3053906637713,58.44087211434533,selected_positive_ev,high_risk,approve_mid_apr,approved_profitable_balanced
8,65512.72222969253,569.6853649269158,18720.765419945,36,25,12,0.208853571382466,0.3648955806108813,0,2,1,55,4,1,5459.393519141045,0.2857577090755415,676.8005161969692,0.1239699086904224,poor,1,mid_apr,0.18,0.1138,1,0.2331311333448878,0.2341236105174934,0.1138,63.15506199614696,224.45205715046808,31.57753099807348,selected_positive_ev,high_risk,manual_review,review_flag_triggered
9,74495.96527487134,561.6998762437706,8608.925359307203,36,30,19,0.3628795458658445,0.3631054435271839,0,2,1,13,3,0,6207.997106239279,0.1155623036419069,311.23327472886047,0.0501342493162447,poor,1,mid_apr,0.18,0.1206,0,0.2876392168400337,0.2701727791690949,0.1206,13.935467847485468,126.22644592739508,6.967733923742734,selected_positive_ev,high_risk,manual_review,review_flag_triggered
10,49408.6821727926,733.8780561635903,9314.554030883604,36,44,7,0.4983754023232809,0.501297069092139,0,0,1,68,3,0,4117.39018106605,0.1885205923550059,365.4365253078828,0.0887544073184027,good,1,high_apr,0.24,0.1023,0,0.2470557988475431,0.2722444006771438,0.1023,69.07420858700371,116.73717249807784,34.537104293501855,selected_positive_ev,high_risk,manual_review,review_flag_triggered
